antecedencia,trecho_unico,data,media_preco_atual,media_preco_referencia,mediana_preco_atual,mediana_preco_referencia
0,campinas-sp-sao-paulo-sp,2026-03-20,56.5,54.93,56.5,56.2
0,campinas-sp-sao-paulo-sp,2026-03-21,56.5,54.88,56.5,56.2
0,campinas-sp-sao-paulo-sp,2026-03-22,56.5,54.96,56.5,56.2
1,governador-valadares-mg-sao-paulo-sp,2026-03-16,243.15,270.45,238.99,256.96
1,governador-valadares-mg-sao-paulo-sp,2026-03-17,248.89,250.52,265.95,253.13
0,governador-valadares-mg-sao-paulo-sp,2026-03-18,334.48,334.48,334.48,334.48
1,governador-valadares-mg-sao-paulo-sp,2026-03-19,256.31,250.27,259.78,256.96
1,governador-valadares-mg-sao-paulo-sp,2026-03-20,255.63,254.97,259.78,258.8
1,governador-valadares-mg-sao-paulo-sp,2026-03-21,254.13,253.37,245.91,258.77
1,governador-valadares-mg-sao-paulo-sp,2026-03-22,235.39,257.77,223.79,259.9
1,ipatinga-mg-vitoria-es,2026-03-16,105.24,103.01,104.88,103.01
1,ipatinga-mg-vitoria-es,2026-03-17,99.19,111.1,99.19,114.07
1,ipatinga-mg-vitoria-es,2026-03-18,112.3,108.55,102.56,105.79
1,ipatinga-mg-vitoria-es,2026-03-19,86.64,106.37,84.66,102.27
1,ipatinga-mg-vitoria-es,2026-03-20,110.75,114.71,123.06,114.07
1,ipatinga-mg-vitoria-es,2026-03-21,94.18,101.99,94.19,102.07
1,ipatinga-mg-vitoria-es,2026-03-22,132.1,127.45,132.11,131.95
0,ribeirao-preto-sp-sao-paulo-sp,2026-03-16,155.3,155.85,155.3,155.3
0,ribeirao-preto-sp-sao-paulo-sp,2026-03-17,151.65,154.72,151.65,155.3
0,ribeirao-preto-sp-sao-paulo-sp,2026-03-18,155.3,154.53,155.3,155.3
0,ribeirao-preto-sp-sao-paulo-sp,2026-03-19,150.43,154.58,147.99,155.3
0,ribeirao-preto-sp-sao-paulo-sp,2026-03-20,158.66,168.24,147.99,158.9
0,ribeirao-preto-sp-sao-paulo-sp,2026-03-21,150.43,155.37,147.99,155.3
0,ribeirao-preto-sp-sao-paulo-sp,2026-03-22,161.2,168.92,155.3,158.9
0,rio-de-janeiro-rj-sao-paulo-sp,2026-03-16,138.64,125.79,149.9,124.99
0,rio-de-janeiro-rj-sao-paulo-sp,2026-03-17,137.99,118.85,139.95,119.99
0,rio-de-janeiro-rj-sao-paulo-sp,2026-03-18,144.79,118.07,148.49,119.9
0,rio-de-janeiro-rj-sao-paulo-sp,2026-03-19,152.43,122.01,149.9,124.89
0,rio-de-janeiro-rj-sao-paulo-sp,2026-03-20,143.76,123.3,149.9,124.9
0,rio-de-janeiro-rj-sao-paulo-sp,2026-03-21,147.46,117.38,149.9,122.18
0,rio-de-janeiro-rj-sao-paulo-sp,2026-03-22,138.2,124.58,144.95,124.99
1,rio-de-janeiro-rj-uberlandia-mg,2026-03-16,223.53,255.31,223.98,258.97
0,rio-de-janeiro-rj-uberlandia-mg,2026-03-17,230.99,241.76,230.99,230.99
1,rio-de-janeiro-rj-uberlandia-mg,2026-03-18,226.41,241.23,221.99,238.98
1,rio-de-janeiro-rj-uberlandia-mg,2026-03-19,236.78,241.56,225.98,238.97
1,rio-de-janeiro-rj-uberlandia-mg,2026-03-20,259.18,255.8,231.8,239.97
1,rio-de-janeiro-rj-uberlandia-mg,2026-03-21,230.59,248.6,227.99,239.97
1,rio-de-janeiro-rj-uberlandia-mg,2026-03-22,228.79,245.93,223.98,246.98
1,rio-de-janeiro-rj-vitoria-es,2026-03-16,134.6,165.55,129.9,159.9
1,rio-de-janeiro-rj-vitoria-es,2026-03-17,131.94,152.45,127.55,155.23
1,rio-de-janeiro-rj-vitoria-es,2026-03-18,136.38,151.39,129.9,147.4
1,rio-de-janeiro-rj-vitoria-es,2026-03-19,135.75,139.83,129.9,132.17
1,rio-de-janeiro-rj-vitoria-es,2026-03-20,140.17,151.11,129.9,155.39
1,rio-de-janeiro-rj-vitoria-es,2026-03-21,132.1,143.53,129.9,139.91
1,rio-de-janeiro-rj-vitoria-es,2026-03-22,139.41,152.49,129.9,150.9
1,sao-jose-dos-campos-sp-sao-paulo-sp,2026-03-16,50.64,47.24,50.3,47.75
1,sao-jose-dos-campos-sp-sao-paulo-sp,2026-03-17,46.07,46.1,44.25,47.75
1,sao-jose-dos-campos-sp-sao-paulo-sp,2026-03-18,47.1,48.29,47.8,50.25
1,sao-jose-dos-campos-sp-sao-paulo-sp,2026-03-19,47.16,47.12,47.8,47.75
1,sao-jose-dos-campos-sp-sao-paulo-sp,2026-03-20,46.23,47.17,50.3,47.75
1,sao-jose-dos-campos-sp-sao-paulo-sp,2026-03-21,47.86,47.74,47.8,47.75
1,sao-jose-dos-campos-sp-sao-paulo-sp,2026-03-22,46.87,48.24,47.8,47.75
1,sao-paulo-sp-vitoria-es,2026-03-16,251.38,283.43,249.51,239.9
1,sao-paulo-sp-vitoria-es,2026-03-17,247.89,241.45,248.14,236.7
1,sao-paulo-sp-vitoria-es,2026-03-18,259.42,242.03,250.87,239.91
1,sao-paulo-sp-vitoria-es,2026-03-19,262.18,264.73,250.87,239.9
1,sao-paulo-sp-vitoria-es,2026-03-20,259.96,264.17,250.87,239.91
1,sao-paulo-sp-vitoria-es,2026-03-21,274.31,270.25,280.22,259.91
1,sao-paulo-sp-vitoria-es,2026-03-22,259.73,289.92,255.39,305.5
