antecedencia,trecho_unico,data,media_preco_atual,media_preco_referencia,mediana_preco_atual,mediana_preco_referencia
1,belo-horizonte-mg-brasilia-df,2026-03-16,257.97,238.55,260.13,242.46
1,belo-horizonte-mg-brasilia-df,2026-03-17,251.23,220.7,259.99,228.98
1,belo-horizonte-mg-brasilia-df,2026-03-18,261.21,242.55,260.28,239.48
1,belo-horizonte-mg-brasilia-df,2026-03-19,273.92,245.13,264.54,235.58
1,belo-horizonte-mg-brasilia-df,2026-03-20,272.9,257.7,250.55,235.58
1,belo-horizonte-mg-brasilia-df,2026-03-21,279.51,261.9,244.48,236.96
1,belo-horizonte-mg-brasilia-df,2026-03-22,237.1,260.4,238.52,246.99
1,belo-horizonte-mg-cabo-frio-rj,2026-03-16,245.89,195.19,239.99,211.99
1,belo-horizonte-mg-cabo-frio-rj,2026-03-17,279.31,194.49,299.99,223.99
1,belo-horizonte-mg-cabo-frio-rj,2026-03-18,309.98,182.92,299.99,193.49
1,belo-horizonte-mg-cabo-frio-rj,2026-03-19,280.79,175.79,272.99,172.99
1,belo-horizonte-mg-cabo-frio-rj,2026-03-20,255.28,157.34,254.99,139.99
1,belo-horizonte-mg-cabo-frio-rj,2026-03-21,249.24,150.12,245.99,139.99
1,belo-horizonte-mg-cabo-frio-rj,2026-03-22,294.16,249.72,259.9,270.49
0,belo-horizonte-mg-governador-valadares-mg,2026-03-16,168.76,168.61,180.87,180.87
0,belo-horizonte-mg-governador-valadares-mg,2026-03-17,184.15,168.99,184.89,180.87
0,belo-horizonte-mg-governador-valadares-mg,2026-03-18,176.43,171.21,180.87,188.42
0,belo-horizonte-mg-governador-valadares-mg,2026-03-19,192.92,157.03,188.91,173.17
0,belo-horizonte-mg-governador-valadares-mg,2026-03-20,189.91,172.93,188.91,184.61
0,belo-horizonte-mg-governador-valadares-mg,2026-03-21,158.44,165.78,171.74,175.52
0,belo-horizonte-mg-governador-valadares-mg,2026-03-22,191.82,182.62,184.89,188.67
1,belo-horizonte-mg-montes-claros-mg,2026-03-16,174.39,212.0,156.83,212.23
1,belo-horizonte-mg-montes-claros-mg,2026-03-17,171.38,199.93,139.27,206.78
1,belo-horizonte-mg-montes-claros-mg,2026-03-18,164.35,218.8,138.48,212.23
1,belo-horizonte-mg-montes-claros-mg,2026-03-19,172.76,149.28,145.43,134.97
1,belo-horizonte-mg-montes-claros-mg,2026-03-20,175.77,168.65,153.7,136.54
1,belo-horizonte-mg-montes-claros-mg,2026-03-21,170.09,146.4,159.17,134.97
1,belo-horizonte-mg-montes-claros-mg,2026-03-22,177.12,191.41,153.7,206.78
1,belo-horizonte-mg-rio-de-janeiro-rj,2026-03-16,155.99,178.77,155.14,199.99
1,belo-horizonte-mg-rio-de-janeiro-rj,2026-03-17,153.91,166.33,169.99,179.99
1,belo-horizonte-mg-rio-de-janeiro-rj,2026-03-18,139.78,155.61,139.99,149.9
1,belo-horizonte-mg-rio-de-janeiro-rj,2026-03-19,145.59,181.21,139.95,209.99
1,belo-horizonte-mg-rio-de-janeiro-rj,2026-03-20,158.88,178.48,149.99,199.99
1,belo-horizonte-mg-rio-de-janeiro-rj,2026-03-21,150.23,167.88,150.37,179.99
1,belo-horizonte-mg-rio-de-janeiro-rj,2026-03-22,186.69,188.99,199.99,209.99
1,belo-horizonte-mg-sao-paulo-sp,2026-03-16,163.24,191.18,159.99,179.14
1,belo-horizonte-mg-sao-paulo-sp,2026-03-17,174.01,185.22,173.9,176.29
1,belo-horizonte-mg-sao-paulo-sp,2026-03-18,171.79,174.81,160.8,174.99
1,belo-horizonte-mg-sao-paulo-sp,2026-03-19,184.75,193.17,179.99,182.14
1,belo-horizonte-mg-sao-paulo-sp,2026-03-20,168.09,187.22,160.4,178.29
1,belo-horizonte-mg-sao-paulo-sp,2026-03-21,185.36,194.23,167.45,179.99
0,belo-horizonte-mg-sao-paulo-sp,2026-03-22,159.99,175.32,159.99,171.59
1,belo-horizonte-mg-uberlandia-mg,2026-03-16,190.54,181.13,193.14,189.49
1,belo-horizonte-mg-uberlandia-mg,2026-03-17,171.88,160.56,163.23,163.88
1,belo-horizonte-mg-uberlandia-mg,2026-03-18,167.03,196.93,163.77,193.19
1,belo-horizonte-mg-uberlandia-mg,2026-03-19,226.31,164.86,224.06,163.77
1,belo-horizonte-mg-uberlandia-mg,2026-03-20,232.76,182.69,208.51,193.08
1,belo-horizonte-mg-uberlandia-mg,2026-03-21,187.4,144.82,190.38,163.12
1,belo-horizonte-mg-uberlandia-mg,2026-03-22,262.26,219.14,261.05,223.15
0,campinas-sp-rio-de-janeiro-rj,2026-03-16,121.48,114.5,121.48,114.5
0,campinas-sp-rio-de-janeiro-rj,2026-03-17,119.99,99.99,119.99,99.99
0,campinas-sp-rio-de-janeiro-rj,2026-03-18,114.5,110.51,114.5,110.51
0,campinas-sp-rio-de-janeiro-rj,2026-03-19,121.48,114.5,121.48,114.5
0,campinas-sp-rio-de-janeiro-rj,2026-03-20,127.47,114.5,127.47,114.5
0,campinas-sp-rio-de-janeiro-rj,2026-03-21,129.99,179.99,129.99,179.99
1,campinas-sp-rio-de-janeiro-rj,2026-03-22,173.3,152.32,169.99,149.99
1,campinas-sp-sao-paulo-sp,2026-03-16,55.58,55.32,56.2,56.5
1,campinas-sp-sao-paulo-sp,2026-03-17,55.3,54.91,56.2,56.2
1,campinas-sp-sao-paulo-sp,2026-03-18,55.23,55.46,56.2,56.2
1,campinas-sp-sao-paulo-sp,2026-03-19,55.45,55.08,56.2,56.2
