antecedencia,trecho_unico,data,media_preco_atual,media_preco_referencia,mediana_preco_atual,mediana_preco_referencia
1,belo-horizonte-mg-brasilia-df,2026-03-23,256.09,239.93,237.59,239.02
1,belo-horizonte-mg-brasilia-df,2026-03-24,244.64,230.89,239.75,232.28
1,belo-horizonte-mg-brasilia-df,2026-03-25,270.09,238.84,239.99,237.53
0,belo-horizonte-mg-brasilia-df,2026-03-26,215.38,226.31,219.76,231.29
0,belo-horizonte-mg-brasilia-df,2026-03-27,231.2,221.55,235.43,219.52
0,belo-horizonte-mg-brasilia-df,2026-03-28,242.84,242.51,242.36,236.12
0,belo-horizonte-mg-brasilia-df,2026-03-29,242.46,247.66,247.12,250.18
0,belo-horizonte-mg-brasilia-df,2026-03-30,222.89,231.6,227.98,226.98
0,belo-horizonte-mg-brasilia-df,2026-03-31,248.02,211.43,240.49,213.7
0,belo-horizonte-mg-brasilia-df,2026-04-01,263.34,227.67,274.33,239.27
1,belo-horizonte-mg-brasilia-df,2026-04-02,284.5,240.54,291.39,235.58
1,belo-horizonte-mg-cabo-frio-rj,2026-03-23,188.82,202.86,184.99,225.49
1,belo-horizonte-mg-cabo-frio-rj,2026-03-24,257.74,204.06,256.49,217.49
1,belo-horizonte-mg-cabo-frio-rj,2026-03-25,227.37,204.5,233.99,208.99
-1,belo-horizonte-mg-cabo-frio-rj,2026-03-26,299.99,149.99,299.99,149.99
-1,belo-horizonte-mg-cabo-frio-rj,2026-03-27,239.99,204.99,239.99,204.99
-1,belo-horizonte-mg-cabo-frio-rj,2026-03-28,129.99,139.99,129.99,139.99
-1,belo-horizonte-mg-cabo-frio-rj,2026-03-29,139.99,289.99,139.99,289.99
-1,belo-horizonte-mg-cabo-frio-rj,2026-03-30,149.99,184.99,149.99,184.99
-1,belo-horizonte-mg-cabo-frio-rj,2026-03-31,369.99,219.99,369.99,219.99
0,belo-horizonte-mg-cabo-frio-rj,2026-04-01,281.07,214.39,239.99,229.24
1,belo-horizonte-mg-cabo-frio-rj,2026-04-02,248.67,186.17,239.99,170.74
0,belo-horizonte-mg-governador-valadares-mg,2026-03-23,155.15,162.51,165.39,176.07
0,belo-horizonte-mg-governador-valadares-mg,2026-03-24,182.51,164.73,184.89,171.62
0,belo-horizonte-mg-governador-valadares-mg,2026-03-25,177.75,167.01,184.89,184.16
0,belo-horizonte-mg-governador-valadares-mg,2026-03-26,188.26,164.34,188.67,177.02
0,belo-horizonte-mg-governador-valadares-mg,2026-03-27,188.87,175.77,188.67,186.58
0,belo-horizonte-mg-governador-valadares-mg,2026-03-28,160.55,165.78,180.14,175.52
0,belo-horizonte-mg-governador-valadares-mg,2026-03-29,176.78,182.62,180.87,188.67
0,belo-horizonte-mg-governador-valadares-mg,2026-03-30,162.01,162.51,180.87,176.07
0,belo-horizonte-mg-governador-valadares-mg,2026-03-31,175.03,164.73,180.87,171.62
0,belo-horizonte-mg-governador-valadares-mg,2026-04-01,193.54,167.01,188.67,184.16
1,belo-horizonte-mg-governador-valadares-mg,2026-04-02,179.44,156.22,188.67,160.16
1,belo-horizonte-mg-montes-claros-mg,2026-03-23,167.65,191.47,129.52,177.11
1,belo-horizonte-mg-montes-claros-mg,2026-03-24,170.88,185.9,135.76,173.02
1,belo-horizonte-mg-montes-claros-mg,2026-03-25,173.55,201.14,139.27,202.09
-1,belo-horizonte-mg-montes-claros-mg,2026-03-26,244.08,223.87,241.9,225.7
-1,belo-horizonte-mg-montes-claros-mg,2026-03-27,244.08,225.35,241.9,241.9
-1,belo-horizonte-mg-montes-claros-mg,2026-03-28,243.72,181.28,241.9,148.25
-1,belo-horizonte-mg-montes-claros-mg,2026-03-29,244.08,208.14,241.9,209.51
-1,belo-horizonte-mg-montes-claros-mg,2026-03-30,244.08,220.76,241.9,225.7
-1,belo-horizonte-mg-montes-claros-mg,2026-03-31,244.08,211.18,241.9,200.73
0,belo-horizonte-mg-montes-claros-mg,2026-04-01,232.67,204.77,230.19,209.51
1,belo-horizonte-mg-montes-claros-mg,2026-04-02,224.16,155.48,223.94,134.97
1,belo-horizonte-mg-rio-de-janeiro-rj,2026-03-23,156.81,182.11,160.37,204.99
1,belo-horizonte-mg-rio-de-janeiro-rj,2026-03-24,142.73,164.61,139.99,179.99
1,belo-horizonte-mg-rio-de-janeiro-rj,2026-03-25,148.96,157.27,139.99,159.95
-1,belo-horizonte-mg-rio-de-janeiro-rj,2026-03-26,184.39,187.7,169.9,184.9
-1,belo-horizonte-mg-rio-de-janeiro-rj,2026-03-27,180.56,186.35,169.9,182.83
-1,belo-horizonte-mg-rio-de-janeiro-rj,2026-03-28,167.45,169.95,164.95,189.99
-1,belo-horizonte-mg-rio-de-janeiro-rj,2026-03-29,178.97,189.08,159.99,179.9
-1,belo-horizonte-mg-rio-de-janeiro-rj,2026-03-30,171.45,185.53,149.9,172.4
-1,belo-horizonte-mg-rio-de-janeiro-rj,2026-03-31,186.86,170.69,199.9,174.9
0,belo-horizonte-mg-rio-de-janeiro-rj,2026-04-01,211.68,172.21,199.99,189.99
1,belo-horizonte-mg-rio-de-janeiro-rj,2026-04-02,249.12,181.3,219.99,204.99
1,belo-horizonte-mg-sao-paulo-sp,2026-03-23,175.37,186.46,174.99,177.07
1,belo-horizonte-mg-sao-paulo-sp,2026-03-24,169.02,182.77,159.99,175.64
1,belo-horizonte-mg-sao-paulo-sp,2026-03-25,167.65,173.15,159.78,167.49
-1,belo-horizonte-mg-sao-paulo-sp,2026-03-26,136.72,154.76,113.8,170.79
-1,belo-horizonte-mg-sao-paulo-sp,2026-03-27,153.47,178.88,169.99,189.99
-1,belo-horizonte-mg-sao-paulo-sp,2026-03-28,148.54,156.65,169.99,174.99
-1,belo-horizonte-mg-sao-paulo-sp,2026-03-29,152.33,191.56,162.43,179.99
-1,belo-horizonte-mg-sao-paulo-sp,2026-03-30,156.65,151.61,160.98,157.71
-1,belo-horizonte-mg-sao-paulo-sp,2026-03-31,140.35,155.34,101.46,176.66
0,belo-horizonte-mg-sao-paulo-sp,2026-04-01,181.5,155.26,174.99,154.85
1,belo-horizonte-mg-sao-paulo-sp,2026-04-02,236.81,186.21,244.99,176.07
1,belo-horizonte-mg-uberlandia-mg,2026-03-23,180.97,167.16,163.83,176.63
1,belo-horizonte-mg-uberlandia-mg,2026-03-24,182.39,152.08,163.83,163.5
1,belo-horizonte-mg-uberlandia-mg,2026-03-25,143.28,170.66,88.49,178.16
-1,belo-horizonte-mg-uberlandia-mg,2026-03-26,264.23,269.45,269.19,251.89
-1,belo-horizonte-mg-uberlandia-mg,2026-03-27,274.59,273.76,286.39,268.59
-1,belo-horizonte-mg-uberlandia-mg,2026-03-28,242.01,247.16,242.01,247.16
-1,belo-horizonte-mg-uberlandia-mg,2026-03-29,220.55,268.49,260.07,268.49
-1,belo-horizonte-mg-uberlandia-mg,2026-03-30,223.55,198.36,223.55,217.29
-1,belo-horizonte-mg-uberlandia-mg,2026-03-31,242.75,225.67,241.56,218.61
0,belo-horizonte-mg-uberlandia-mg,2026-04-01,275.03,197.17,290.45,197.26
1,belo-horizonte-mg-uberlandia-mg,2026-04-02,288.94,179.62,312.92,182.58
0,campinas-sp-rio-de-janeiro-rj,2026-03-23,121.48,117.0,121.48,117.0
0,campinas-sp-rio-de-janeiro-rj,2026-03-24,179.99,99.99,179.99,99.99
1,campinas-sp-rio-de-janeiro-rj,2026-03-25,154.59,139.95,154.99,139.99
0,campinas-sp-rio-de-janeiro-rj,2026-03-26,121.48,115.5,121.48,115.5
0,campinas-sp-rio-de-janeiro-rj,2026-03-27,121.48,115.5,121.48,115.5
0,campinas-sp-rio-de-janeiro-rj,2026-03-28,159.99,179.99,159.99,179.99
0,campinas-sp-rio-de-janeiro-rj,2026-03-29,121.48,119.49,121.48,119.49
0,campinas-sp-rio-de-janeiro-rj,2026-03-30,121.48,117.0,121.48,117.0
0,campinas-sp-rio-de-janeiro-rj,2026-03-31,119.99,99.99,119.99,99.99
0,campinas-sp-rio-de-janeiro-rj,2026-04-01,223.44,112.01,223.44,112.01
1,campinas-sp-rio-de-janeiro-rj,2026-04-02,208.3,143.51,205.35,144.99
1,campinas-sp-sao-paulo-sp,2026-03-23,55.58,55.28,56.2,56.35
1,campinas-sp-sao-paulo-sp,2026-03-24,55.21,55.08,56.2,56.35
1,campinas-sp-sao-paulo-sp,2026-03-25,55.48,55.48,56.2,56.2
0,campinas-sp-sao-paulo-sp,2026-03-26,56.18,54.81,56.2,56.2
0,campinas-sp-sao-paulo-sp,2026-03-27,54.92,54.96,56.2,56.2
0,campinas-sp-sao-paulo-sp,2026-03-28,54.89,54.88,56.2,56.2
0,campinas-sp-sao-paulo-sp,2026-03-29,55.05,54.96,56.2,56.2
0,campinas-sp-sao-paulo-sp,2026-03-30,54.52,54.76,56.2,56.2
0,campinas-sp-sao-paulo-sp,2026-03-31,54.77,54.73,56.2,56.2
0,campinas-sp-sao-paulo-sp,2026-04-01,54.81,54.72,56.2,56.2
1,campinas-sp-sao-paulo-sp,2026-04-02,55.42,55.12,56.2,56.2
1,governador-valadares-mg-sao-paulo-sp,2026-03-23,254.8,265.31,249.99,258.37
1,governador-valadares-mg-sao-paulo-sp,2026-03-24,235.9,251.74,228.97,255.97
0,governador-valadares-mg-sao-paulo-sp,2026-03-25,334.48,334.48,334.48,334.48
1,governador-valadares-mg-sao-paulo-sp,2026-03-26,237.45,251.2,234.99,257.88
1,governador-valadares-mg-sao-paulo-sp,2026-03-27,252.2,255.53,258.98,259.35
1,governador-valadares-mg-sao-paulo-sp,2026-03-28,252.19,253.37,244.9,258.77
1,governador-valadares-mg-sao-paulo-sp,2026-03-29,251.51,257.77,239.54,259.9
1,governador-valadares-mg-sao-paulo-sp,2026-03-30,245.15,265.31,239.9,258.37
1,governador-valadares-mg-sao-paulo-sp,2026-03-31,245.11,251.74,239.54,255.97
0,governador-valadares-mg-sao-paulo-sp,2026-04-01,250.0,334.48,250.0,334.48
1,governador-valadares-mg-sao-paulo-sp,2026-04-02,275.53,251.2,249.99,257.88
1,ipatinga-mg-vitoria-es,2026-03-23,120.74,105.94,120.62,104.4
1,ipatinga-mg-vitoria-es,2026-03-24,89.29,105.77,89.29,107.0
1,ipatinga-mg-vitoria-es,2026-03-25,89.29,109.51,89.29,108.13
1,ipatinga-mg-vitoria-es,2026-03-26,119.02,112.51,89.29,110.21
1,ipatinga-mg-vitoria-es,2026-03-27,86.12,124.7,86.12,127.88
1,ipatinga-mg-vitoria-es,2026-03-28,101.59,101.99,101.03,102.07
1,ipatinga-mg-vitoria-es,2026-03-29,104.69,127.45,92.45,131.95
1,ipatinga-mg-vitoria-es,2026-03-30,106.84,105.94,105.92,104.4
1,ipatinga-mg-vitoria-es,2026-03-31,101.45,105.77,86.12,107.0
1,ipatinga-mg-vitoria-es,2026-04-01,181.6,109.51,163.17,108.13
1,ipatinga-mg-vitoria-es,2026-04-02,253.0,112.51,253.0,110.21
0,ribeirao-preto-sp-sao-paulo-sp,2026-03-23,151.65,155.9,151.65,155.3
